Participant Initials,Image name,Choice,Alternative,Duration,Number of Command Repeats,Run Type,Key Pressed,Passed Repeat Key Threshold
noname,i295.jpg,old,tan children with black hair,3.765,0,Reverse Control,left,False
noname,i295.jpg,Asian children wearing red shorts,tan children with black hair,0.836,0,Trial,right,False
noname,i295.jpg,old,Asian children wearing red shorts,0.001,0,Trial,left,False
noname,i295.jpg,tan children with black hair, tiny building behind school children,2.814,0,Trial,left,False
noname,i295.jpg,old,tan children with black hair,2.662,0,Trial,left,False
noname,i295.jpg,paper is for writing, tiny building behind school children,740.271,0,Nonsense Control - Left,left,False
noname,i295.jpg, tiny building behind school children,old,1.028,0,Trial,right,False
noname,i295.jpg,tan children with black hair,old,0.001,0,Trial,left,False
