Participant Initials,Image name,Choice,Alternative,Duration,Number of Command Repeats,Run Type,Key Pressed,Passed Repeat Key Threshold
noname,i295.jpg,side mirror of car in corner,Asian children wearing white shirts,0.003,0,Trial,left,False
noname,i295.jpg,Asian children wearing white shirts,happy school children greeting and waving,0.002,0,Trial,left,False
noname,i295.jpg,tan children with black hair,Asian children wearing white shirts,0.661,0,Trial,right,False
noname,i295.jpg,happy school children greeting and waving,side mirror of car in corner,0.002,0,Trial,right,False
